Canonical_Class,PlantVillage_Class,PlantDoc_Class,Status
Apple___Apple_scab,Apple___Apple_scab,Apple Scab Leaf,OK
Apple___Black_rot,Apple___Black_rot,,OK
Apple___Cedar_apple_rust,Apple___Cedar_apple_rust,Apple rust leaf,OK
Apple___healthy,Apple___healthy,Apple leaf,OK
Blueberry___healthy,Blueberry___healthy,Blueberry leaf,OK
Cherry___healthy,Cherry_(including_sour)___healthy,Cherry leaf,OK
Cherry___Powdery_mildew,Cherry_(including_sour)___Powdery_mildew,,OK
Corn___Cercospora_leaf_spot Gray_leaf_spot,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Corn Gray leaf spot,OK
Corn___Common_rust_,Corn_(maize)___Common_rust_,Corn rust leaf,OK
Corn___healthy,Corn_(maize)___healthy,,OK
Corn___Northern_Leaf_Blight,Corn_(maize)___Northern_Leaf_Blight,Corn leaf blight,OK
Grape___Black_rot,Grape___Black_rot,grape leaf black rot,OK
Grape___Esca_(Black_Measles),Grape___Esca_(Black_Measles),,OK
Grape___healthy,Grape___healthy,grape leaf,OK
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),Grape___Leaf_blight_(Isariopsis_Leaf_Spot),,OK
Orange___Haunglongbing_(Citrus_greening),Orange___Haunglongbing_(Citrus_greening),,OK
Peach___Bacterial_spot,Peach___Bacterial_spot,,OK
Peach___healthy,Peach___healthy,Peach leaf,OK
Pepper___bell___Bacterial_spot,"Pepper,_bell___Bacterial_spot",Bell_pepper leaf spot,OK
Pepper___bell___healthy,"Pepper,_bell___healthy",Bell_pepper leaf,OK
Potato___Early_blight,Potato___Early_blight,Potato leaf early blight,OK
Potato___healthy,Potato___healthy,,OK
Potato___Late_blight,Potato___Late_blight,Potato leaf late blight,OK
Raspberry___healthy,Raspberry___healthy,Raspberry leaf,OK
Soybean___healthy,Soybean___healthy,Soyabean leaf,OK
Squash___Powdery_mildew,Squash___Powdery_mildew,Squash Powdery mildew leaf,OK
Strawberry___healthy,Strawberry___healthy,Strawberry leaf,OK
Strawberry___Leaf_scorch,Strawberry___Leaf_scorch,,OK
Tomato___Bacterial_spot,Tomato___Bacterial_spot,Tomato leaf bacterial spot,OK
Tomato___Early_blight,Tomato___Early_blight,Tomato Early blight leaf,OK
Tomato___healthy,Tomato___healthy,Tomato leaf,OK
Tomato___Late_blight,Tomato___Late_blight,Tomato leaf late blight,OK
Tomato___Leaf_Mold,Tomato___Leaf_Mold,Tomato mold leaf,OK
Tomato___Septoria_leaf_spot,Tomato___Septoria_leaf_spot,Tomato Septoria leaf spot,OK
Tomato___Spider_mites Two-spotted_spider_mite,Tomato___Spider_mites Two-spotted_spider_mite,Tomato two spotted spider mites leaf,OK
Tomato___Target_Spot,Tomato___Target_Spot,,OK
Tomato___Tomato_mosaic_virus,Tomato___Tomato_mosaic_virus,Tomato leaf mosaic virus,OK
Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato leaf yellow virus,OK
